Method,CBF RMSE,ATT RMSE,Source
Current DNN (Baseline),4.186464,0.3731136,Our run
Bayesian,5.03,0.0826,FIXED REFERENCE
NLLS,2.982,0.5062,FIXED REFERENCE
DNN Experiment A (raw),4.863987922668457,0.3699998557567596,Our run
DNN Experiment A (diff),4.717912197113037,0.3653095662593841,Our run
DNN Experiment A (ratio),4.736876487731934,0.3693201243877411,Our run
DNN Experiment A (log),4.692034721374512,0.3707703351974487,Our run
DNN Experiment A (all),4.783478260040283,0.3671151101589203,Our run
DNN Experiment B (Temporal Encoder),4.809609413146973,0.3757335841655731,Our run
DNN Experiment C (Asymmetric Heads),4.780877590179443,0.3703654110431671,Our run
DNN Experiment D (Coarse-to-Fine),4.792275428771973,0.381540834903717,Our run
DNN Experiment E (Residual),62.94548797607422,0.776384711265564,Our run
