Experiment,CBF RMSE,ATT RMSE,CBF MAE,ATT MAE
BASELINE-G,4.6728263,0.36896214,3.3855007,0.2351676
G1_PLDAware,4.806094,0.37178254,3.5473874,0.23577924
G2_SeparateReps,4.7751355,0.3655004,3.4627306,0.23474383
G4_TargetCap_32,4.6526704,0.3686567,3.3896956,0.23672946
G4_TargetCap_96,4.72152,0.36536127,3.4364784,0.23367403
G4_TargetCap_128,4.691623,0.3647882,3.3887568,0.23369703
G3_Feature_diff,4.690954,0.36779788,3.393943,0.23483175
G3_Feature_log,4.710444,0.36713836,3.4313772,0.2342881
G3_Feature_ratio,4.659121,0.36607847,3.4114652,0.23325536
G3_Feature_all,4.6570363,0.36379242,3.37457,0.2327698
G5_Residual,53.214436,0.3852138,44.359844,0.2543285
4-PLD (Reference),4.765819,0.36916238,3.4676282,0.2353988
3-PLD (Drop P1),6.2030277,0.529176,4.6837716,0.39247575
3-PLD (Drop P2),5.0072975,0.3791077,3.6897354,0.2484727
3-PLD (Drop P4),5.681049,0.37647355,3.943799,0.24689804
